"Ac-No","Name","sTime","Verify Mod","Machine","Exception"
"12","12","07/12/2018 12:04","Fingerpint","2",""
"12","12","07/12/2018 12:19","Fingerpint","2",""
"12","12","07/17/2018 08:30","Fingerpint","2",""
"19","19","07/04/2018 08:03","Fingerpint","2",""
"19","19","07/05/2018 18:09","Fingerpint","2",""
"19","19","07/06/2018 08:15","Fingerpint","2",""
"19","19","07/09/2018 17:32","Fingerpint","2",""
"19","19","07/10/2018 18:10","Fingerpint","2",""
"19","19","07/11/2018 17:53","Fingerpint","2",""
"19","19","07/17/2018 08:14","Fingerpint","2",""
"19","19","07/17/2018 17:37","Fingerpint","2",""
"29","29","07/02/2018 08:09","Fingerpint","2","0000070109"
"29","29","07/02/2018 17:57","Fingerpint","2","0000070109"
"29","29","07/03/2018 08:18","Fingerpint","2","0000070109"
"29","29","07/03/2018 17:46","Fingerpint","2","0000070109"
"29","29","07/04/2018 08:22","Fingerpint","2","0000070109"
"29","29","07/04/2018 17:06","Fingerpint","2","0000070109"
"29","29","07/05/2018 08:26","Fingerpint","2","0000070109"
"29","29","07/05/2018 18:08","Fingerpint","2","0000070109"
"29","29","07/06/2018 17:48","Fingerpint","2","0000070109"
"29","29","07/07/2018 08:30","Fingerpint","2","0000070109"
"29","29","07/07/2018 10:13","Fingerpint","2","0000070109"
"29","29","07/09/2018 09:38","Fingerpint","2","0000070109"
"29","29","07/09/2018 17:33","Fingerpint","2","0000070109"
"29","29","07/10/2018 08:37","Fingerpint","2","0000070109"
"29","29","07/10/2018 18:10","Fingerpint","2","0000070109"
"29","29","07/11/2018 08:19","Fingerpint","2","0000070109"
"29","29","07/11/2018 17:56","Fingerpint","2","0000070109"
"29","29","07/12/2018 08:18","Fingerpint","2","0000070109"
"29","29","07/12/2018 17:40","Fingerpint","2","0000070109"
"29","29","07/13/2018 08:13","Fingerpint","2","0000070109"
"29","29","07/13/2018 17:52","Fingerpint","2","0000070109"
"29","29","07/14/2018 08:00","Fingerpint","2","0000070109"
"29","29","07/14/2018 13:18","Fingerpint","2","0000070109"
"29","29","07/16/2018 08:18","Fingerpint","2","0000070109"
"29","29","07/16/2018 17:48","Fingerpint","2","0000070109"
"29","29","07/17/2018 08:12","Fingerpint","2","0000070109"
"29","29","07/17/2018 17:37","Fingerpint","2","0000070109"
"37","37","07/12/2018 10:57","Fingerpint","2",""
"37","37","07/12/2018 12:14","Fingerpint","2",""
"37","37","07/12/2018 12:14","Fingerpint","2",""
"40","40","07/02/2018 08:20","Fingerpint","2",""
"40","40","07/02/2018 16:34","Fingerpint","2",""
"40","40","07/03/2018 08:11","Fingerpint","2",""
"40","40","07/03/2018 16:40","Fingerpint","2",""
"40","40","07/04/2018 08:13","Fingerpint","2",""
"40","40","07/04/2018 16:36","Fingerpint","2",""
"40","40","07/05/2018 08:25","Fingerpint","2",""
"40","40","07/05/2018 09:40","Fingerpint","2",""
"40","40","07/05/2018 16:35","Fingerpint","2",""
"40","40","07/06/2018 08:16","Fingerpint","2",""
"40","40","07/06/2018 16:34","Fingerpint","2",""
"40","40","07/07/2018 08:29","Fingerpint","2",""
"40","40","07/07/2018 13:04","Fingerpint","2",""
"40","40","07/09/2018 08:18","Fingerpint","2",""
"40","40","07/09/2018 16:37","Fingerpint","2",""
"40","40","07/10/2018 08:16","Fingerpint","2",""
"40","40","07/10/2018 16:36","Fingerpint","2",""
"40","40","07/11/2018 08:12","Fingerpint","2",""
"40","40","07/11/2018 16:35","Fingerpint","2",""
"40","40","07/12/2018 08:10","Fingerpint","2",""
"40","40","07/12/2018 16:32","Fingerpint","2",""
"40","40","07/13/2018 08:11","Fingerpint","2",""
"40","40","07/13/2018 16:39","Fingerpint","2",""
"40","40","07/14/2018 08:26","Fingerpint","2",""
"40","40","07/14/2018 13:17","Fingerpint","2",""
"40","40","07/16/2018 17:12","Fingerpint","2",""
"40","40","07/17/2018 08:11","Fingerpint","2",""
"40","40","07/17/2018 16:37","Fingerpint","2",""
"46","46","07/02/2018 08:10","Fingerpint","2",""
"46","46","07/02/2018 17:56","Fingerpint","2",""
"46","46","07/03/2018 08:04","Fingerpint","2",""
"46","46","07/03/2018 17:45","Fingerpint","2",""
"46","46","07/04/2018 08:16","Fingerpint","2",""
"46","46","07/04/2018 17:06","Fingerpint","2",""
"46","46","07/05/2018 08:16","Fingerpint","2",""
"46","46","07/05/2018 18:08","Fingerpint","2",""
"46","46","07/06/2018 08:21","Fingerpint","2",""
"46","46","07/06/2018 17:48","Fingerpint","2",""
"46","46","07/07/2018 07:45","Fingerpint","2",""
"46","46","07/07/2018 13:09","Fingerpint","2",""
"46","46","07/09/2018 08:29","Fingerpint","2",""
"46","46","07/09/2018 17:30","Fingerpint","2",""
"46","46","07/10/2018 08:12","Fingerpint","2",""
"46","46","07/10/2018 18:11","Fingerpint","2",""
"46","46","07/11/2018 08:23","Fingerpint","2",""
"46","46","07/11/2018 17:56","Fingerpint","2",""
"46","46","07/12/2018 08:16","Fingerpint","2",""
"46","46","07/12/2018 17:39","Fingerpint","2",""
"46","46","07/13/2018 17:53","Fingerpint","2",""
"46","46","07/14/2018 08:19","Fingerpint","2",""
"46","46","07/14/2018 13:17","Fingerpint","2",""
"46","46","07/16/2018 17:47","Fingerpint","2",""
"46","46","07/17/2018 08:15","Fingerpint","2",""
"46","46","07/17/2018 17:37","Fingerpint","2",""
"57","57","07/12/2018 11:05","Fingerpint","2",""
